anime,date,score
天元突破红莲螺岩 螺岩篇,2009年4月25日,8.2
欢迎加入NHK！,2006年7月9日,8.2
攻壳机动队 STAND ALONE COMPLEX 笑面男,2005年10月23日,8.2
飞跃巅峰！,1988年10月7日,8.2
夏目友人帐 参,2011年7月4日,8.2
排球少年,2014年4月6日,8.2
昭和元禄落语心中,2016年1月8日,8.2
伤物语III 冷血篇,2017年1月6日,8.2
水星领航员,2005年10月6日,8.2
全金属狂潮 校园篇,2003年8月26日,8.2
电脑线圈,2007年5月12日,8.2
魔卡少女樱,1998年4月7日,8.2
银魂°,2015年4月8日,8.2
福音战士新剧场版：序,2007年9月1日,8.1
轻音少女,2009年4月2日,8.1
黄金神威 第三季,2020年10月5日,8.2
水星领航员 OVA ～ARIETTA～,2007年9月21日,8.2
物语系列 第二季,2013年7月6日,8.1
终物语（下）,2017年8月12日,8.1
机动警察 NEW OVA,1990年11月22日,8.2
Fate/Zero,2011年10月1日,8.1
辉夜姬物语,2013年11月23日,8.1
春宵苦短，少女前进吧！,2017年4月7日,8.1
高分少女 第二季,2019年10月25日,8.1
灵能百分百 第二季,2019年1月7日,8.1
剧场版 吹响！悠风号～誓言的终章～,2019年4月19日,8.1
回忆三部曲,1995年12月23日,8.1
飞跃巅峰2！,2004年11月26日,8.1
寒蝉鸣泣之时 解,2007年7月5日,8.1
王牌投手 振臂高挥～夏日大会篇～,2010年4月1日,8.1
爆漫王。2,2011年10月1日,8.1
人狼,1999年11月17日,8.1
少女终末旅行,2017年10月6日,8.1
龙珠Z,1989年4月26日,8.1
猎人,2011年10月2日,8.1
灵能百分百 第三季,2022年10月5日,8.1
别对映像研出手！,2020年1月5日,8.1
王牌投手 振臂高挥,2007年4月12日,8.1
悠久之翼2,2008年10月6日,8.1
山水情,1988年3月21日,8.2
心灵游戏,2004年8月7日,8.1
宇宙兄弟,2012年4月1日,8.1
进击的巨人,2013年4月6日,8.1
日常 ETV版,2012年1月7日,8.1
日本动画（人）博览会,2014年11月7日,8.1
攻壳机动队 S.A.C. 2nd GIG 个别的十一人,2006年1月27日,8.1
Heart Catch 光之美少女！,2010年2月7日,8.1
太阳之牙达格拉姆,1981年10月23日,8.4
冰海战记 第二季,2023年1月9日,8.1
瑞克和莫蒂 第四季,2019年11月10日,8.1
剧场版 吹响！悠风号～想要传达的旋律～,2017年9月30日,8.1
明日之丈,1970年4月1日,8.2
奇诺之旅,2003年4月8日,8.1
怪医黑杰克 OVA,1993年12月21日,8.1
妄想代理人,2004年2月2日,8.1
龙与虎,2008年10月1日,8.1
老人与海,1999年7月3日,8.1
一拳超人,2015年10月4日,8.0
寒蝉鸣泣之时,2006年4月4日,8.0
斩服少女,2013年10月3日,8.0
超时空要塞 可曾记得爱,1984年7月21日,8.1
剧场版 魔法少女小圆 [后篇] 永远的物语,2012年10月13日,8.0
攻壳机动队 S.A.C. SSS 3D,2011年3月26日,8.1
交响诗篇,2005年4月17日,8.1
罗小黑战记 众生之门篇,2021年4月24日,8.1
祖先大人万万岁,1989年8月5日,8.1
装甲骑兵VOTOMS,1983年4月1日,8.1
降世神通：最后的气宗 第三季,2007年9月21日,8.1
续 夏目友人帐,2009年1月5日,8.0
JOJO的奇妙冒险 星尘斗士,2014年4月4日,8.0
剧场版 空之境界 第七章 杀人考察（后）,2009年8月8日,8.0
游戏人生 零,2017年7月15日,8.0
海马,2008年4月10日,8.0
回转企鹅罐,2011年7月7日,8.0
娜娜,2006年4月5日,8.0
剑风传奇,1997年10月7日,8.1
吊带袜天使,2010年10月1日,8.0
狼的孩子雨和雪,2012年7月21日,8.0
四叶游戏,2009年4月5日,8.1
命运石之门 0,2018年4月11日,8.0
夏目友人帐,2008年7月7日,8.0
悠哉日常大王 Repeat,2015年7月6日,8.0
小魔女DoReMi 大合奏,2002年2月3日,8.2
红猪,1992年7月18日,8.0
凉宫春日的忧郁 2009,2009年4月2日,8.0
黑客帝国动画版,2003年6月3日,8.0
白兔糖,2011年7月7日,8.0
进击的巨人 第二季,2017年4月1日,8.0
百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～,2006年1月27日,8.1
歌牌情缘,2011年10月4日,8.0
机动战士高达 THE ORIGIN,2015年4月24日,8.0
擅长捉弄的高木同学 第三季,2022年1月7日,8.0
你的名字。,2016年8月26日,8.0
相聚一刻,1986年3月26日,8.1
种树的牧羊人,1988-06-11,8.1
夏目友人帐 肆,2012年1月2日,8.0
辉夜大小姐想让我告白-初吻不会结束-,2022年12月17日,8.0
校园迷糊大王,2004年10月5日,8.0
AIR,2005年1月6日,8.0
四月是你的谎言,2014年10月9日,8.0
悠哉日常大王,2013年10月7日,8.0
向山进发 Next Summit,2022年10月4日,8.0
剧场版 悠哉日常大王 Vacation,2018年8月25日,8.0
勇者王GaoGaiGar Final,2000年1月21日,8.1
秒速5厘米,2007年3月3日,8.0
小马宝莉：友谊就是魔法 第一季,2010年10月10日,8.0
银之匙 Silver Spoon 第二季,2014年1月9日,8.0
VOY@GER,2021年8月25日,8.0
机动战舰抚子号,1996年10月1日,8.0
JOJO的奇妙冒险 黄金之风,2018年10月5日,8.0
爆漫王。,2010年10月2日,8.0
太空丹迪,2014年1月5日,8.0
黑礁 The Second Barrage,2006年10月2日,8.0
机动战士高达 第08MS小队,1996年1月25日,8.0
赌博默示录,2007年10月2日,8.0
死神 千年血战篇,2022年10月10日,8.0
狮子王,1994年6月15日,8.0
吸血鬼猎人D：妖杀行,2000年8月25日,8.0
小魔女DoReMi 童年秘密篇,2004年6月26日,8.1
罗小黑战记,2011年3月17日,8.0
DARKER THAN BLACK -黑之契约者-,2007年4月5日,8.0
剧场版 空之境界 第一章 俯瞰风景,2007年12月1日,7.9
伤物语II 热血篇,2016年8月19日,8.0
交响情人梦,2007年1月11日,8.0
悠久之翼,2007年10月6日,8.0
偶像大师 剧场版 向着光辉的彼岸！,2014年1月25日,8.0
萩萩公主,2002年8月16日,8.0
辉夜大小姐想让我告白-初吻不会结束-,2023年3月31日,7.9
剧场版 空之境界 第三章 痛觉残留,2008年2月9日,7.9
蜡笔小新,1992年4月13日,8.0
精灵守护者,2007年4月7日,8.0
回忆积木小屋,2008年6月10日,8.0
重启咲良田,2017年4月5日,8.0
降世神通：最后的气宗 第二季,2006年3月17日,8.0
蜘蛛侠：纵横宇宙,2023年6月2日,7.9
JOJO的奇妙冒险,2012年10月5日,7.9
来自深渊 深邃的魂之黎明,2020年1月17日,7.9
银之匙 Silver Spoon,2013年7月11日,7.9
寄生兽 生命的准则,2014年10月8日,7.9
宇宙战舰大和号2199,2013年4月7日,7.9
无头骑士异闻录,2010年1月7日,7.9
无限的未知,1999年10月6日,7.9
男子高中生的日常,2012年1月9日,7.9
玲音,1998年7月6日,7.9
麻辣教师GTO,1999年6月30日,7.9
红线,2010年10月9日,7.9
少女☆歌剧 Revue Starlight,2018年7月12日,7.9
剧场版 高达G之复国运动 Ⅳ 在激斗中呼唤爱,2022年7月22日,8.1
小明和王猫,2000年1月1日,8.2
剧场版 魔法少女小圆 [前篇] 起始的物语,2012年10月6日,7.9
搞笑漫画日和,2005年2月7日,7.9
数码宝贝驯兽师之王,2001年4月1日,7.9
天元突破红莲螺岩 红莲篇,2008年9月6日,7.9
86 -不存在的战区- 第2部分,2021年10月2日,7.9
NOMAD MEGALO BOX 2,2021年4月4日,7.9
续·终物语,2018年11月10日,7.9
向阳素描 沙英・寻 毕业篇,2013年11月27日,8.0
心理测量者,2012年10月11日,7.9
×××HOLiC◆继,2008年4月3日,7.9
异邦人 无皇刃谭,2007年9月29日,7.9
机动战舰抚子号 暗黑王子,1998年8月8日,7.9
疯狂约会美丽都,2003-06-11,8.0
宇宙骑士BLADE,1992年2月18日,8.0
少年同盟 2,2012年4月2日,7.9
剑风传奇 黄金时代篇III 降临,2013年2月1日,7.9
月色真美,2017年4月6日,7.9
探险活宝 第九季,2017年9月17日,8.3
圣母在上 第3季,2006年11月29日,7.9
苍穹之法芙娜 EXODUS,2015年1月8日,7.9
鼹鼠的故事,1957年,7.9
怪诞小镇 第一季,2012年6月16日,7.9
剧场版 Fate/stay night [Heaven's Feel] III.spring song,2020年8月15日,7.9
伤物语I 铁血篇,2016年1月8日,7.9
人类衰退之后,2012年7月1日,7.9
恶魔人 crybaby,2018年1月5日,7.9
黄色潜水艇,1968-07-17,8.2
天体战士,2008年10月3日,7.9
魔卡少女樱 被封印的卡片,2000年7月15日,7.9
境界触发者 第三季,2021年10月9日,7.9
妖精森林的小不点,2018年1月12日,7.9
监狱兔 第一季,2006年6月28日,7.9
玉子爱情故事,2014年4月26日,7.9
交响情人梦Finale,2010年1月14日,7.9
乌龙派出所,1996年6月16日,8.0
机动警察,1989年10月11日,7.9
游戏王－怪兽之决斗,2000年4月18日,7.9
阿基拉,1988年7月16日,7.9
天体战士 第2期,2009年10月3日,7.9
小马宝莉：友谊就是魔法 第二季,2011年9月17日,7.9
穿越时空的少女,2006年7月15日,7.9
海绵宝宝 第一季,1999年5月1日,7.9
哈尔的移动城堡,2004年11月20日,7.9
高分少女,2018年7月13日,7.9
蜘蛛侠：平行宇宙,2018年12月14日,7.9
勇者王GaoGaiGar Final Grand Glorious Gathering,2005年4月11日,8.0
银魂剧场版 完结篇 万事屋永不落,2013年7月6日,7.9
幸运星 OVA,2008年9月26日,7.9
玛丽和马克思,2009年4月9日,7.9
剑豪生死斗,2007年7月19日,7.9
寻梦环游记,2017年11月22日,7.9
来自深渊 漂泊之黄昏,2019年1月18日,7.9
高分少女 EXTRA STAGE,2019年3月20日,7.9
侧耳倾听,1995年7月15日,7.9
超时空要塞Plus,1994年8月25日,7.9
罗密欧的蓝天,1995年1月15日,8.1
鲁邦三世 卡里奥斯特罗之城,1979年12月15日,7.9
无职转生～到了异世界就拿出真本事～,2021年1月10日,7.8
机动战士高达 闪光的哈萨维,2021年6月11日,7.9
南方公园 第16季,2012年3月14日,7.9
有顶天家族,2013年7月7日,7.9
游戏王5D's,2008年4月2日,7.9
马男波杰克3,2016年7月22日,8.0
秀逗魔导士NEXT,1996年4月5日,7.9
狼与香辛料,2008年1月8日,7.8
JOJO的奇妙冒险 不灭钻石,2016年4月1日,7.8
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,2020年4月11日,7.8
机动战士高达,1979年4月7日,7.8
马男波杰克2,2015年7月17日,7.9
幻想曲2000,1999年12月17日,8.0
少女与战车 最终章 第4话,2023年10月6日,7.9
飞出个未来 第6季,2010年6月24日,8.2
星游记,2011年10月30日,7.9
飞出个未来 第1季,1999年3月28日,8.0
THE BIG-O,1999年10月13日,7.9
夏日大作战,2009年8月1日,7.8
玉响～毕业写真～,2015年5月8日,7.9
灵异E接触,2011年1月10日,7.8
王立宇宙军 欧尼亚米斯之翼,1987年3月14日,7.8
苍穹之法芙娜 EXODUS 第2期,2015年10月2日,7.9
银魂 〜无论什么事开始虽然重要但伸个懒腰的话也不错〜,2005年9月24日,7.9
我心里危险的东西,2023年4月1日,7.8
RWBY预告片,2012年11月7日,7.9
校园迷糊大王 二学期,2006年4月2日,7.9
相合之物,2022年4月6日,7.8
黑礁,2006年4月8日,7.8
赌博默示录 破戒录篇,2011年4月5日,7.8
灵能百分百,2016年7月11日,7.8
全金属狂潮 The Second Raid,2005年7月13日,7.8
鲁邦三世,2015年10月1日,7.9
少年同盟,2011年10月3日,7.8
伪物语,2012年1月7日,7.8
魔法少女奈叶 The MOVIE 2nd A’s,2012年7月14日,7.9
GOTCHA！,2020年9月29日,7.9
超时空要塞,1982年10月3日,7.9
超智游戏,2008年10月7日,7.8
银魂剧场版 新译红樱篇,2010年4月24日,7.8
AIR 夏季篇,2005年8月28日,7.8
月刊少女野崎君,2014年7月6日,7.8
听到涛声,1993年5月5日,7.8
天国大魔境,2023年4月1日,7.8
希德尼娅的骑士 第九惑星战役,2015年4月10日,7.8
